userName,Life_Control_Sten,Life_Control_Tscore,Emotional_Control_Sten,Emotional_Control_Tscore,Goal_Orientation_Sten,Goal_Orientation_Tscore,Achievement_Orientation_Sten,Achievement_Orientation_Tscore,Risk_Orientation_Sten,Risk_Orientation_Tscore,Learning_Orientation_Sten,Learning_Orientation_Tscore,Confidence_Abilities_Sten,Confidence_Abilities_Tscore,Interpersonal_Confidence_Sten,Interpersonal_Confidence_Tscore,Stress_Tolerance_Sten,Stress_Tolerance_Tscore,Consistency_Sten,Consistency_Tscore,CONTROL_Sten,CONTROL_Tscore,COMMITMENT_Sten,COMMITMENT_Tscore,CHALLENGE_Sten,CHALLENGE_Tscore,CONFIDENCE_Sten,CONFIDENCE_Tscore
_M002,6.5,55.2,6.8,56.7,9.2,68.4,7.8,61.4,9.0,67.4,9.6,70.3,7.1,57.8,8.7,65.8,7.9,61.9,4.8,46.5,6.8,56.7,8.8,66.3,10.0,72.6,8.0,62.6
_M135,8.8,66.5,5.1,48.2,8.6,65.4,7.1,58.2,3.8,41.5,4.7,46.2,6.2,53.6,7.5,60.1,8.3,64.0,5.7,51.1,7.0,57.6,8.1,62.9,4.0,42.7,7.0,57.3
_M162,6.5,55.2,9.1,68.0,4.7,45.8,7.8,61.4,7.6,60.5,8.2,63.4,7.1,57.8,7.5,60.1,8.3,64.0,7.6,60.3,8.2,63.5,6.2,53.6,8.4,64.3,7.4,59.6
_M163,5.3,48.8,5.4,49.6,4.7,45.8,5.8,51.7,5.5,50.1,4.7,46.2,4.6,45.4,5.8,51.5,6.6,55.7,3.9,41.8,5.3,49.1,5.2,48.5,5.1,47.8,5.1,48.2
